dep:2, n:340, eng50, th:60
dep:2, n:340, eng50, th:65
dep:2, n:340, eng50, th:70
dep:2, n:340, eng50, th:75
dep:2, n:340, eng50, th:80
dep:2, n:340, eng50, th:85
dep:2, n:242, eng50, th:40　
dep:4, n:340, eng50, th:40　
dep:2, n:242, eng50, th:45　
dep:4, n:340, eng50, th:45　
dep:2, n:242, eng50, th:50　
dep:4, n:340, eng50, th:50　
dep:2, n:242, eng50, th:55　
dep:4, n:340, eng50, th:55　
dep:2, n:242, eng50, th:60　
dep:4, n:340, eng50, th:60　
dep:2, n:242, eng50, th:65　
dep:4, n:340, eng50, th:65　
dep:2, n:242, eng50, th:70　
dep:2, n:242, eng50, th:75　
dep:4, n:340, eng50, th:70　
dep:2, n:242, eng50, th:80　
dep:2, n:242, eng50, th:85　
